County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference,longitude,latitude
Bronx,749205,Store,JAC,ROON INC,K & C FRUIT & VEGETABLE,4026,WHITE PLAINS RD,,,BRONX,NY,10466,0,-73.85957 40.88944,-73.85957,40.88944
Bronx,749201,Store,JAC,RANCHITO MIXTECO CORP,RANCHITO MIXTECO,250,E GUN HILL ROAD,,,BRONX,NY,10467,0,-73.87597 40.87987,-73.87597,40.87987
Bronx,749190,Store,A,BEYOND SNACKS INC,BEYOND SNACKS,575,E 161ST STREET,,,BRONX,NY,10456,0,-73.90923 40.82238,-73.90923,40.82238
New York,749188,Store,A,K&D GROCERY NY INC,K&D GROCERY NY,137B,"HESTER STREET, STORE 6B",,,NEW YORK,NY,10002,0,-73.99467 40.71704,-73.99467,40.71704
Queens,749165,Store,JAC,MARFE INC,MARFE,9818,NORTHERN BLVD,,,CORONA,NY,11368,0,-73.86973 40.7572,-73.86973,40.7572
Kings,749155,Store,JAC,SURF GROCERY LLC,SURF GROCERY,2226,SURF AVE,,,BROOKLYN,NY,11224,0,-73.98957 40.57404,-73.98957,40.57404
Bronx,749146,Store,A,ICNA RELIEF USA PROGRAMS INC,ICNA RELIEF USA PROGRAM,1277D,BURKE AVENUE,,,BRONX,NY,10469,0,-73.84931 40.87144,-73.84931,40.87144
Kings,749133,Store,A,VITAMIN SHOPP INDUSTRY INC,VITAMIN SHOPPE #241,12,4TH AVE,,,BROOKLYN,NY,11217,0,-73.97815 40.68473,-73.97815,40.68473
Kings,749132,Store,JAC,BROTHERS URENA CORP,BROTHER'S URENA,273,KINGSTON AVE,,,BROOKLYN,NY,11213,0,-73.94208 40.67043,-73.94208,40.67043
Kings,749119,Store,JAC,4 BROTHERS FOOD CORP,4 BROTHERS FOOD,631,NOSTRAND AVE,,,BROOKLYN,NY,11216,0,-73.94997 40.67548,-73.94997,40.67548
New York,749101,Store,A,GORILLAS NYC EAST HARLEM LLC,GORILLAS - 19  EAST HAR,149,E 125TH ST,,,NEW YORK,NY,10035,0,-73.93701 40.80421,-73.93701,40.80421
Kings,749099,Store,JAC,AMDP CORPORATION,GREENPOT,86,GREENPOINT AVE,,,BROOKLYN,NY,11222,0,-73.95735 40.72989,-73.95735,40.72989
New York,749098,Store,A,GORILLAS NYC BRYANT PARK LLC,GORILLAS - 2 MIDTOWN SO,20,W 37TH ST,,,NEW YORK,NY,10018,0,-73.98441 40.75087,-73.98441,40.75087
Queens,749093,Store,JAC,C & E FAMILY FOOD CORP,ASSOCIATED FRESH MARKET,70-63,PARSONS BLVD,,,FRESH MEADOWS,NY,11365,0,-73.81088 40.73108,-73.81088,40.73108
Bronx,749074,Store,JAC,RAMA FOOD CORP,RAMA FOOD,605,E 168TH STREET,,,BRONX,NY,10456,0,-73.90321 40.83019,-73.90321,40.83019
New York,749063,Store,JAC,MAXWELL ICE CREAM AND DONUTS INC,HOLEY DONUTS & CREAM,791,NINTH AVE.,,,NEW YORK,NY,10019,0,-73.98774 40.76515,-73.98774,40.76515
Queens,749050,Store,A,BRS 99C UP & VARIETY STORE INC,BRS 99C UP & VARIETY ST,160-15,HILLSIDE AVE,,,JAMAICA,NY,11432,0,-73.80129 40.70813,-73.80129,40.70813
New York,749049,Store,JAC,POLO GROUND FOOD GROCERY INC,POLO GROUND FOOD GROCER,300,W 155TH STREET,,,NEW YORK,NY,10039,0,-73.93742 40.82923,-73.93742,40.82923
Kings,749040,Store,JAC,A H GROCERY CORP I,A H GROCERY I,2154,PITKIN AVE,,,BROOKLYN,NY,11207,0,-73.8929 40.67235,-73.8929,40.67235
